10,14600
1010,49300
2010,58400
3010,123600
4010,103600
5010,148200
6010,164100
7010,276400
8010,288300
9010,425400
10010,418900
11010,492400
12010,543200
13010,548200
14010,628000
15010,699900
16010,2285200
17010,572200
18010,598900
19010,283500
20010,402300
21010,329800
22010,379400
23010,4315300
24010,357500
25010,424400
26010,586800
27010,448900
28010,502600
29010,498500
30010,524100
31010,557100
32010,648800
33010,653300
34010,635400
35010,679500
36010,673100
37010,711200
38010,754900
39010,738000
40010,517600
41010,780400
42010,1049100
43010,1039200
44010,875400
45010,825000
46010,879000
47010,919800
48010,941000
49010,976600
50010,959000
51010,1014900
52010,1016100
53010,1052100
54010,1177800
55010,1093600
56010,1124100
57010,1118800
58010,1128500
59010,1148900
60010,1156000
61010,1204000
62010,1183000
63010,1195200
64010,1283700
65010,1299400
66010,1294200
67010,1405000
68010,1237100
69010,1336100
70010,1354000
71010,1724100
72010,1438300
73010,1473500
74010,1518100
75010,1532300
76010,1507200
77010,1505400
78010,1485900
79010,1648100
80010,1510500
81010,1604900
82010,1690700
83010,1579200
84010,1771000
85010,1651400
86010,1640800
87010,1762000
88010,1716300
89010,1816200
90010,1937600
91010,1823600
92010,1834100
93010,1891500
94010,1930700
95010,1913300
96010,1884900
97010,1966800
98010,2052300
99010,4045600
100010,2057200
101010,2068000
102010,2054400
103010,2140500
104010,2106600
105010,2299900
106010,2027600
107010,2105200
108010,2043400
109010,2071600
110010,2227400
111010,2234800
112010,2294300
113010,2949300
114010,2374600
115010,2235400
116010,2255000
117010,2367900
118010,2329000
119010,2469900
120010,2437100
121010,2445000
122010,2717300
123010,2534600
124010,2596900
125010,2461100
126010,2462000
127010,2495800
128010,2682500
129010,2639400
130010,2732200
131010,2735700
132010,2775600
133010,2797800
134010,2709800
135010,2811100
136010,2915300
137010,2835000
138010,2690300
139010,2894700
140010,2931700
141010,2753200
142010,2953700
143010,3078600
144010,2899900
145010,2965300
146010,2897600
147010,2983700
148010,2969800
149010,3143200
150010,3143400
151010,3234200
152010,3130400
153010,3250500
154010,3191500
155010,3358700
156010,3276600
157010,3350200
158010,3362300
159010,3507500
160010,3316600
161010,3439400
162010,3417000
163010,3403300
164010,3545200
165010,3654500
166010,3473900
167010,3547700
168010,3530100
169010,3650200
170010,3516100
171010,3544700
172010,3665600
173010,3800500
174010,3607400
175010,3599100
176010,3728400
177010,3372500
178010,3817700
179010,3640900
180010,3761300
181010,3703900
182010,3981000
183010,3918900
184010,4053600
185010,4048400
186010,4037800
187010,3928000
188010,3983400
189010,2610500
190010,3938600
191010,4807500
192010,4204200
193010,3997100
194010,4124900
195010,4113400
196010,4115800
197010,4748100
198010,4069600
199010,4114600
200010,4419600
